sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),cluster
a,d,a,a,2
a,b,a,a,2
a,c,a,a,2
a,c,a,a,2
a,d,a,a,2
b,d,b,b,2
a,d,a,a,2
a,d,a,a,2
a,b,a,a,2
a,c,a,a,2
b,d,a,a,2
a,d,a,a,2
a,b,a,a,2
a,b,a,a,2
b,d,a,a,2
b,d,a,b,2
b,d,a,b,2
a,d,a,a,2
b,d,b,a,2
a,d,a,a,2
b,d,b,a,2
a,d,a,b,2
a,d,a,a,2
a,c,b,b,2
a,d,b,a,2
a,b,a,a,2
a,d,a,b,2
b,d,a,a,2
b,d,a,a,2
a,c,a,a,2
a,c,a,a,2
b,d,a,b,2
b,d,a,a,2
b,d,a,a,2
a,c,a,a,2
a,c,a,a,2
b,d,a,a,2
a,d,a,a,2
a,b,a,a,2
a,d,a,a,2
a,d,a,a,2
a,a,a,a,0
a,c,a,a,2
a,d,a,b,2
a,d,b,b,2
a,b,a,a,2
a,d,a,a,2
a,c,a,a,2
b,d,a,a,2
a,c,a,a,2
d,c,c,c,3
c,c,c,c,3
d,c,c,c,3
b,a,b,b,0
d,a,c,c,1
b,a,c,b,0
c,c,c,c,3
a,a,b,b,0
d,b,c,b,1
b,a,b,c,0
a,a,b,b,0
c,b,b,c,1
c,a,b,b,0
c,b,c,c,1
b,b,b,b,0
d,c,c,c,3
b,b,c,c,1
b,a,b,b,0
c,a,c,c,1
b,a,b,b,0
c,c,c,c,3
c,a,b,b,0
c,a,c,c,1
c,a,c,b,1
c,b,b,b,0
d,b,c,c,1
d,a,c,c,1
d,b,c,c,1
c,b,c,c,1
b,a,b,b,0
b,a,b,b,0
b,a,b,b,0
b,a,b,b,0
c,a,c,c,1
b,b,c,c,1
c,d,c,c,3
d,c,c,c,3
c,a,c,b,1
b,b,b,b,0
b,a,b,b,0
b,a,c,b,0
c,b,c,c,1
b,a,b,b,0
a,a,b,b,0
b,a,b,b,0
b,b,b,b,0
b,b,b,b,0
c,b,b,b,0
a,a,b,b,0
b,a,b,b,0
c,c,d,d,3
b,a,c,d,1
d,b,d,d,3
c,b,d,c,1
d,b,d,d,3
d,b,d,d,3
a,a,c,c,0
d,b,d,c,3
d,a,d,c,1
d,d,d,d,3
d,c,c,d,3
c,a,d,d,1
d,b,d,d,3
b,a,c,d,1
b,a,c,d,1
c,c,d,d,3
d,b,d,c,3
d,d,d,d,3
d,a,d,d,1
c,a,c,c,1
d,c,d,d,3
b,a,c,d,1
d,a,d,d,1
c,a,c,c,1
d,c,d,d,3
d,c,d,c,3
c,a,c,c,1
c,b,c,c,1
c,a,d,d,1
d,b,d,c,3
d,a,d,d,1
d,d,d,d,3
c,a,d,d,1
c,a,c,c,1
c,a,d,c,1
d,b,d,d,3
c,d,d,d,3
c,c,d,c,3
c,b,c,c,1
d,c,d,d,3
d,c,d,d,3
d,c,c,d,3
b,a,c,d,1
d,c,d,d,3
d,c,d,d,3
d,b,d,d,3
c,a,c,d,1
d,b,d,d,3
c,d,d,d,3
c,b,c,c,1
